experiment,tank,date,taxon,individual,length_mm,name,correct_taxon,correct_stage,temp_treat,nutrient_treat,treatment,mean_temp,sd_temp,cv_temp
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,253,21.99,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,242,21.068,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,249,20.532,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,245,20.055,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,282,19.871,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-25T00:00:00Z,chironomidae,33,19.224,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,270,19.141,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-25T00:00:00Z,chironomidae,48,19.136,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,255,18.883,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-25T00:00:00Z,chironomidae,70,18.835,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,243,18.712,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-31T00:00:00Z,chironomidae,265,18.424,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
NEON_meso_2022,2,2023-01-25T00:00:00Z,chironomidae,161,18.285,aria,chironomidae,larva,heated,ambient,heated_ambient,25.752380952380953,3.919842796401519,15.221283048156787
