experiment,tank,date,taxon,individual,length_mm
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,1,0
NEON_mesocosm_2022,1,2022-06-30,Odonata,2,0
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,3,0.01
NEON_mesocosm_2022,1,2022-06-30,Odonata,4,0.01
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,5,0.01
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,6,0.02
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,7,0.02
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,8,0.02
NEON_mesocosm_2022,1,2022-06-30,Odonata,9,0.02
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,10,0.03
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,11,0.03
NEON_mesocosm_2022,1,2022-06-30,Odonata,12,0.03
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,13,0.04
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,14,0.04
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,15,0.04
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,16,0.05
NEON_mesocosm_2022,1,2022-06-30,Odonata,17,0.05
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,18,0.05
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,19,0.07
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,20,0.07
NEON_mesocosm_2022,1,2022-06-30,Odonata,21,0.07
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,22,0.07
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,23,0.08
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,24,0.09
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,25,0.09
NEON_mesocosm_2022,1,2022-06-30,Odonata,26,0.09
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,27,0.09
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,28,0.09
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,29,0.1
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,30,0.1
NEON_mesocosm_2022,1,2022-06-30,Odonata,31,0.1
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,32,0.11
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,33,0.13
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,34,0.13
NEON_mesocosm_2022,1,2022-06-30,Odonata,35,0.14
NEON_mesocosm_2022,1,2022-06-30,Odonata,36,0.14
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,37,0.14
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,38,0.15
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,39,0.16
NEON_mesocosm_2022,1,2022-06-30,Odonata,40,0.17
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,41,0.17
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,42,0.18
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,43,0.19
NEON_mesocosm_2022,1,2022-06-30,Odonata,44,0.19
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,45,0.19
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,46,0.22
NEON_mesocosm_2022,1,2022-06-30,Odonata,47,0.22
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,48,0.25
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,49,0.27
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,50,0.28
NEON_mesocosm_2022,1,2022-06-30,Odonata,51,0.28
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,52,0.28
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,53,0.28
NEON_mesocosm_2022,1,2022-06-30,Odonata,54,0.29
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,55,0.29
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,56,0.32
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,57,0.33
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,58,0.34
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,59,0.35
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,60,0.37
NEON_mesocosm_2022,1,2022-06-30,Odonata,61,0.37
NEON_mesocosm_2022,1,2022-06-30,Odonata,62,0.38
NEON_mesocosm_2022,1,2022-06-30,Ephemeroptera,63,0.4
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,64,0.41
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,65,0.42
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,66,0.43
NEON_mesocosm_2022,1,2022-06-30,Chironomidae,67,0.45
NEON_mesocosm_2022,1,2022-06-30,Coleoptera,68,0.46
NEON_mesocosm_2022,1,2022-06-30,Odonata,69,0.49
